,project_name,bid_classification,bid_type,Category
38374,Move-Out Painting Services,Services,Request for Quotation(RFQ),
38387,Supply & Delivery Of One (1) New 2 Ton Asphalt Recycler With A Hot Box Trailer,Goods,Request for Quotation(RFQ),
38392,Stormwater Flow Monitoring,Services,Request for Proposal(RFP),
38396,General Contractor For City Park Redevelopment,Construction,Request for Tender(RFT),
38399,Intersection Improvements Paris Road / Terrace Hill Street,Construction,Request for Tender(RFT),
38401,Supply & Delivery Of Two (2) Utility Tractors For Parks & Recreation,Goods,Request for Quotation(RFQ),
38407,Custom Head Wall & Starting Blocks For The 65 M Swimming Pool - Wayne Gretzky Sports Centre,Construction,Request for Quotation(RFQ),
38409,Large Water Meter Testing And Rehabilitation,Services,Request for Quotation(RFQ),
38412,Supply & Delivery Of One (1) New 2019 Model Year Fairway Riding Mower,Goods,Request for Quotation(RFQ),
38415,Gilkison Siphon Inspection And Cleaning,Construction,Request for Quotation(RFQ),
38418,Trillium Way Contractor Services For Brick Repairs And Exterior Insulation,Construction,Request for Tender(RFT),
38426,Supply & Installation Of A Directional Drilled Seasonal Water Service On Powerline Road,Construction,Request for Quotation(RFQ),
38428,Roadside Grass Cutting And Trimming Services,Services,Request for Quotation(RFQ),
38433,Animal Control And Pound Services,Services,Request for Proposal(RFP),
38435,Consulting Services For Guide Rails Inventory & Condition Assessments,Services,Request for Proposal(RFP),
38439,Streetlight And Pole Condition Assessment,Services,Request for Proposal(RFP),
38444,Road Resurfacing On Brant Avenue And Top Lift Asphalt On Various Streets,Construction,Request for Tender(RFT),
38448,Supply And Delivery Of Three (3) New 2020 Model Year 1/2 Ton Pickup Trucks With An 8 Foot Box,Goods,Request for Quotation(RFQ),
38450,Printing And Delivery Of The Leisure Activities Guide For Parks And Recreation,Goods,Request for Quotation(RFQ),
38456,Supply And Delivery Of Two (2) New 2020 Model Year 1/2 Ton Pickup Trucks With A 6.5 Foot Box,Goods,Request for Quotation(RFQ),
38459,Traffic Line Painting,Services,Request for Quotation(RFQ),
38461,Construction Management Services For Bpi Facility Relocation And Expansion,Construction,Request for Proposal(RFP),
38467,Pre-Qualification Of General Contractors For Northridge Golf Course Clubhouse Redevelopment,Construction,Request for Pre-Qualification(RFPQ),
38494,Supply And Delivery Of A Wide Area Mower,Goods,Request for Quotation(RFQ),
38496,Outreach Coordinator,Services,Request for Proposal(RFP),
38497,Herbert Street - Road And Watermain Construction,Construction,Request for Tender(RFT),
38501,Vacuum Street Sweeper,Goods,Request for Proposal(RFP),
38504,Lease Of One (1) Ford Interceptor Utility Awd Vehicle For Brantford Police Services,Goods,Request for Quotation(RFQ),
38505,Asphalt Paving On Various Streets,Construction,Request for Tender(RFT),
38509,Consulting Services For Traffic Sign And Pole Asset Inspections,Services,Request for Proposal(RFP),
38512,Recyclable Materials Collection Services,Services,Request for Tender(RFT),
38515,Ashgrove L.E.D. Street Lighting Improvements - Phase Iv,Construction,Request for Tender(RFT),
38522,Processing Of Recyclable Materials,Services,Request for Tender(RFT),
38524,Sodding Restorations At Various City Locations,Construction,Request for Quotation(RFQ),
38532,"Door, Window, And Tile Replacement At The Sanderson Centre",Construction,Request for Tender(RFT),
38537,Geotechnical Services For Municipal Infrastructure Projects,Services,Request for Proposal(RFP),
38553,Janitorial Services For Various Housing Locations,Services,Request for Quotation(RFQ),
38566,Utility Meter Reading Services,Services,Request for Proposal(RFP),
38568,Contractor Services For Mechanical Repairs Vendor Of Record,Services,Request for Pre-Qualification(RFPQ),
38572,Greenwich Wastewater Pumping Station Operational Assessment,Services,Request for Proposal(RFP),
38577,Consulting Services For Tollgate Pumping Station & Reservoir Generator Replacement,Services,Request for Proposal(RFP),
38585,West Street (Charing Cross Street To Edmondson Street) Road And Watermain Construction,Construction,Request for Tender(RFT),
38590,Janitorial Services For Various Locations,Services,Request for Quotation(RFQ),
38602,Barry Drive (Bell Lane To Dead End) And Dale Street (Barry Drive To Mount Pleasant Street) (Rsw),Construction,Request for Tender(RFT),
38608,Refrigeration System Replacement At Lions Park Arena,Construction,Request for Tender(RFT),
38611,Main Stage Productions For Canada Day Celebrations,Services,Request for Quotation(RFQ),
38617,Brant Towers Window Replacement,Construction,Request for Quotation(RFQ),
38624,General Contractor For Administrative Accommodations At New City Hall,Construction,Request for Tender(RFT),
38630,Wwtp Aeration System And Diffusers Upgrade,Services,Request for Proposal(RFP),
38634,Roof Replacement Wayne Gretzky Sports Centre,Construction,Request for Quotation(RFQ),
38649,Consulting Services For Various Glenhyrst Gardens Amenities,Services,Request for Quotation(RFQ),
38654,Supply Of Scalehouse Operators At The Mohawk Street Landfill Site,Services,Request for Quotation(RFQ),
38660,Mohawk Landfill Scalehouse Replacement,Construction,Request for Tender(RFT),
38668,Veterans Memorial Parkway Bridges Over Grand River And Market Street Expansion Joint Rehabilitation,Construction,Request for Tender(RFT),
38680,General Contractor Pre-Qualification For The Construction Of A New Fire Station,Construction,Request for Pre-Qualification(RFPQ),
38716,Supply And Delivery Of Chemicals For The Waste Water Treatment Plant,Goods,Request for Quotation(RFQ),
38724,Supply And Delivery Of A Walk-In Van,Goods,Request for Quotation(RFQ),
38725,Roof Replacement At 33 Empey Street,Construction,Request for Quotation(RFQ),
38738,"Supply, Delivery And Installation Of Playground Equipment",Construction,Request for Proposal(RFP),
38745,Supply And Delivery Of Water Treatment Chemicals,Goods,Request for Quotation(RFQ),
38750,"Dewatering, Hauling And Disposal Of Liquid Biosolids From The Wastewater Treatment Plant",Services,Request for Quotation(RFQ),
38753,Consulting Services For Biosolids Storage Tank Upgrades,Services,Request for Proposal(RFP),
38756,Exterior Frame And Door Replacement At The Brantford And District Civic Centre,Construction,Request for Quotation(RFQ),
38763,Railway Grade Crossings – Safety Review,Services,Request for Proposal(RFP),
38771,Armoured Car Services,Services,Request for Proposal(RFP),
38776,Supply And Delivery Of Field Marking Paint,Goods,Request for Quotation(RFQ),
38778,Consultant To Perform Actuarial Services Relating To Retirement And Other Post-Employment Benefits,Services,Request for Proposal(RFP),
38784,Two Low Lift Pump Rebuilds,Construction,Request for Quotation(RFQ),
38786,Snow Removal And Ice Control Services For Municipal Pay Parking Lots & Various City Intersections,Services,Request for Quotation(RFQ),
38789,Consulting Services Required For Fifth Avenue Wastewater Pumping,Services,Request for Proposal(RFP),
38794,Cohesity Secondary Storage & Data Protection System,Goods,Request for Quotation(RFQ),
38800,Mohawk Lake & Mohawk Canal Functional Master Drainage And Restoration Study,Services,Request for Proposal(RFP),
38804,Waterslide Replacement At Earl Haig Park,Construction,Request for Quotation(RFQ),
38806,Compost Sale,Goods,Others,
38813,General Contractor Pre-Qualification For Renovations At The New City Hall,Construction,Request for Pre-Qualification(RFPQ),
38843,Vehicle Maintenance Garage Ventilation Upgrades,Construction,Request for Quotation(RFQ),
38847,Snow Clearing And Ice Control Services For Housing Locations,Services,Request for Quotation(RFQ),
38855,"Snow Clearing And Ice Control For The Transit Terminal, Senior Bus Stops, And Bus Route Bus Stops",Services,Request for Quotation(RFQ),
38861,Building 150 Roof Replacement - Brantford Municipal Airport,Construction,Request for Tender(RFT),
38873,Prime Consultant Design Services For Northridge Golf Course Clubhouse,Services,Request for Proposal(RFP),
38875,Consulting Services For Water Treatment Plant Polymer System Upgrades,Services,Request for Proposal(RFP),
38879,Wwtp Biosolids Storage Lagoon Cleanout,Services,Request for Tender(RFT),
38881,Storm Water Management Facility Cleanout & Sediment Removal Of 2 Ponds,Construction,Request for Tender(RFT),
38888,Wwtp Blower Upgrades,Construction,Request for Tender(RFT),
38893,Consultant For Reconstruction Of Braneida Park Storm Water Management Facility,Services,Request for Proposal(RFP),
38899,Supply And Delivery Of An Electric Vehicle For Fleet,Goods,Request for Quotation(RFQ),
38902,Storm And Sanitary Manhole Rehabilitation,Construction,Request for Quotation(RFQ),
38905,Supply And Delivery Of One Front End Loader For Operational Services,Goods,Request for Quotation(RFQ),
38912,Design Build Supportive Housing Development - 5 Marlene Ave.,Construction,Request for Proposal(RFP),
38913,Service Provider For Utility Locates,Services,Request for Proposal(RFP),
38919,Tree Maintenance Services,Services,Request for Quotation(RFQ),
38923,Radiator Replacements At Winston Court,Construction,Request for Quotation(RFQ),
38926,Elgin Street (Clarence Street To Cn Rail) Rsw,Construction,Request for Tender(RFT),
38930,Fire Station #3 Washroom Renovations,Construction,Request for Quotation(RFQ),
38939,Janitorial Services For Various Housing Locations,Services,Request for Proposal(RFP),
38947,Arc Flash And Short Circuit Assessment For The Water Department And Wastewater Pumping Stations,Services,Request for Quotation(RFQ),
38958,Janitorial Services For The Brantford Farmers' Market,Services,Request for Quotation(RFQ),
38966,Consulting Services To Conduct An Accounts Payable Process Review And The Development And Evaluation Of Automation Solution Criteria,Services,Request for Proposal(RFP),
38968,Supply And Delivery Of One (1) Cab And Chassis Equipped With Aerial Device,Goods,Request for Quotation(RFQ),
38970,Manhole Condition Assessments,Services,Request for Proposal(RFP),
38973,Building Condition Assessments For Various City Facilities,Services,Request for Proposal(RFP),
38986,Select Demolition Of 70 Dalhousie Street,Construction,Request for Tender(RFT),
38990,Storm Sewer Construction At 24 Burke Avenue,Construction,Request for Tender(RFT),
38994,Toplift Asphalt On Various Streets,Construction,Request for Tender(RFT),
39001,Crackfilling At Various City Locations,Construction,Request for Quotation(RFQ),
39003,Supply And Delivery Of One Fire Pumper Rescue Truck,Goods,Request for Proposal(RFP),
39007,Design Build Services For Brantford Power Inc. Facility Relocation,Construction,Request for Pre-Qualification(RFPQ),
39014,Field Howitzer Cannon - Conservation And Restoration Services,Services,Request for Proposal(RFP),
39016,Service Provider To Develop And Operate An Indigenous Led Early Learning (Earlyon) Site,Services,Request for Proposal(RFP),
39018,Parking Lot Attendants And Enforcement Office Personnel,Services,Request for Quotation(RFQ),
39022,Consultant For Yards Facility Rationalization Update Study,Services,Request for Proposal(RFP),
39023,Janitorial Services For The Market Centre Parkade And Offices,Services,Request for Proposal(RFP),
39028,Refrigeration Preventive Maintenance - Arenas And Ice Surfaces,Services,Request for Quotation(RFQ),
39031,Supply & Delivery Of Two (2) Pickup Trucks For Environmental Services,Goods,Request for Quotation(RFQ),
39033,"Remove, Supply, Replace Streetlight Lamps, And Clean Fixtures",Construction,Request for Quotation(RFQ),
39039,Supply And Delivery Of Hot Mix Asphalt,Goods,Request for Quotation(RFQ),
39041,North East End Flood Remediation Study,Services,Request for Proposal(RFP),
39047,Asphalt Paving On Various Streets,Construction,Request for Tender(RFT),
39053,Supply And Delivery Of Sulzer Abs Mixers And Vortex Breakers,Goods,Request for Quotation(RFQ),
39054,Bill Little Park Sports Field Lighting,Construction,Request for Quotation(RFQ),
39057,Property Maintenance Services For Various Housing Units,Services,Request for Quotation(RFQ),
39061,Cn Rail Trail Crossing Ballast Walls & Wing Walls Replacement,Construction,Request for Tender(RFT),
39062,Kennedy Street Retaining Wall Replacement,Construction,Request for Tender(RFT),
39063,Hydro-Vac Truck For Brantford Power Inc.,Goods,Request for Quotation(RFQ),
39066,Wellington Street (Stanley Street To Park Road North)(Rw),Construction,Request for Tender(RFT),
39073,Earl Haig Park Boiler Replacement,Construction,Request for Quotation(RFQ),
39076,Landfill Transfer Station Road And Watermain Construction,Construction,Request for Tender(RFT),
39082,Shellard Lane Elevated Water Storage Tank,Construction,Request for Tender(RFT),
39083,Supply And Delivery Of Water Softener Salt,Goods,Request for Quotation(RFQ),
39084,Turtle Pond Dredging And Cleanout Works,Construction,Request for Tender(RFT),
39088,Colborne Street Slope Stabilization Environmental Assessment,Services,Request for Proposal(RFP),
39090,Lease Of 2018 Suv Or Crossover Style Vehicle,Goods,Request for Quotation(RFQ),
39091,Consulting Services Required For The Rehabilitation Of The Primary Clarifiers At The Brantford Wastewater Treatment Plant,Services,Request for Proposal(RFP),
39097,Supply And Delivery Of Rain Barrels,Goods,Request for Quotation(RFQ),
39098,Asphalt Trail Repairs,Construction,Request for Quotation(RFQ),
39106,Mohawk Landfill Scalehouse Replacement,Construction,Request for Tender(RFT),
39110,Sodding Restorations At Various City Locations,Construction,Request for Quotation(RFQ),
39119,Arts And Culture Economic Impact Study,Services,Request for Proposal(RFP),
39123,Security Guard Services For Canada Day,Services,Request for Quotation(RFQ),
39129,Contractor(S) Required For Trenchless Sewer Lining Repairs,Construction,Request for Quotation(RFQ),
39133,Supply & Delivery Of One New 2018 Model Year Riding Turf Sweeper,Goods,Request for Quotation(RFQ),
39135,Supply And Delivery Of Ready Mix Concrete,Goods,Request for Quotation(RFQ),
39138,General Contractor For Playground Redevelopment,Construction,Request for Tender(RFT),
39145,Services Assessment Review,Services,Request for Proposal(RFP),
39147,Supply And Delivery Of Four New Eight-Metre Low Floor Specialized Transit Buses,Goods,Request for Quotation(RFQ),
39151,Burnley Ave. (Grandview Street To West Street) Rsw,Construction,Request for Tender(RFT),
39154,Colborne Street Trail Removal,Construction,Request for Quotation(RFQ),
39172,Supply & Delivery Of Grass Seed,Goods,Request for Quotation(RFQ),
39177,Parking Lot Expansion - Brantford Police Services,Construction,Request for Tender(RFT),
39189,Supply & Delivery Of Three (2018) 3-Quarter Ton 2Wd Standard Cab Pickup Trucks For Parks & Recreation,Goods,Request for Quotation(RFQ),
39192,Supply And Delivery Of 2 Three Deck Mowers,Goods,Request for Quotation(RFQ),
39195,Water Treatment Condition Assessment,Services,Request for Proposal(RFP),
39203,Three Tandem Axle Cab & Chassis For Operational Services,Goods,Request for Quotation(RFQ),
39205,Consulting Services For A Comprehensive Master Fire Plan,Services,Request for Proposal(RFP),
39210,Project Management Office Services For Clubhouse Renovations At Northridge Golf Course,Services,Request for Proposal(RFP),
39214,Janitorial Services For The Bell Homestead National Historic Site Visitor Center,Services,Request for Quotation(RFQ),
39219,Consultant Services For Design And Contract Administration For New Fire Station,Services,Request for Proposal(RFP),
39225,Shellard Lane Phase 2 (Rsw),Construction,Request for Tender(RFT),
39236,Support Services For Individuals At Risk Of Homelessness,Services,Request for Proposal(RFP),
39239,Supply & Delivery Of Water Filtration System & Replacement Filters For Lead Removal,Goods,Request for Quotation(RFQ),
39241,Linear Municipal Infrastructure Engineering Services Roster,Services,Request for Pre-Qualification(RFPQ),
39260,69-79 Market Street South – Civic Centre -  Road And Watermain Construction,Construction,Request for Tender(RFT),
39265,Consulting Services For Water Treatment Plant Emergency Water Supply & Canal Upgrades,Services,Request for Proposal(RFP),
39267,"Water Valves, Pre-Cast Valve Chambers Installation & Road Restorations",Construction,Request for Tender(RFT),
39271,Consulting Services For Business Process Optimization And Change Management Initiative,Services,Request for Proposal(RFP),
39281,Design Build Supportive Housing Development Services - 5 Marlene Ave.,Construction,Request for Pre-Qualification(RFPQ),
39286,Sanderson Boiler Venting Replacement,Construction,Request for Quotation(RFQ),
39291,Consulting Services For An Activity Tracking And Asset Management System Software Implementation,Services,Request for Proposal(RFP),
39293,Banbury Road From Brantwood Park Road (N. Leg) To Enfield Crescent (S. Leg) (Rw),Construction,Request for Tender(RFT),
39301,Workforce Management Solution,Services,Request for Proposal(RFP),
39305,Lease Of Eleven (11) Ford Interceptor Utility Awd Vehicles,Goods,Request for Quotation(RFQ),
39310,Lorne Towers Elevator Modernization,Construction,Request for Tender(RFT),
39314,Greyfield Revitalization Strategy,Services,Request for Proposal(RFP),
39318,Contractors Required To Provide Various Trade Services In Accordance With The Property Standards Bylaw,Construction,Request for Pre-Qualification(RFPQ),
39325,Sanderson Centre Audio Equipment Upgrades,Goods,Request for Quotation(RFQ),
39332,Wastewater Sewer Flow Monitoring Program,Services,Request for Proposal(RFP),
39335,"Supply & Delivery Of One New 2018 Heavy Duty, 1-Ton, Extended Cab Truck",Goods,Request for Quotation(RFQ),
39338,Mohawk Lake And Mohawk Canal Characterization Study,Services,Request for Proposal(RFP),
39346,Website Redesign & Implementation,Services,Request for Proposal(RFP),
39354,Animal Control And Pound Services,Services,Request for Proposal(RFP),
39355,Mobile Shelving For Police Services,Construction,Request for Quotation(RFQ),
39359,Supply And Delivery Of Water Treatment Chemicals,Goods,Request for Quotation(RFQ),
39364,Streetlight Condition Assessments,Services,Request for Proposal(RFP),
39366,Prime Consultant Services For Phase 1 - Administrative Accommodations (58-70 Dalhousie Street),Services,Request for Proposal(RFP),
39369,Project Management Office Services - Supportive Housing Development,Services,Request for Proposal(RFP),
39372,Supply And Install One Automatic Cantilever Sliding Gate System With Associated Fencing,Construction,Request for Quotation(RFQ),
39379,Open Drains Inventory Update And Assessment,Services,Request for Proposal(RFP),
39382,Supply And Delivery Of Bulk Fuels,Goods,Request for Quotation(RFQ),
39392,Feasibility Study For Oak Park Road - From Hardy Road To Colborne Street West,Services,Request for Proposal(RFP),
39397,Transit Stop Condition Assessments,Services,Request for Proposal(RFP),
39401,"Snow Clearing And Ice Control For The Brantford Municipal Airport, City Of Brantford Fire Hall Lots And Beryl Angus Child Care Centre",Services,Request for Quotation(RFQ),
39408,Sale Of Approximately 1800 Tonnes Of Finished Screened Yard Material Compost,Goods,Others,
39412,Mid-Sized Performance Space Feasibility Study,Services,Request for Proposal(RFP),
39416,Landfill Gas Collection System Improvements And Expansion,Construction,Request for Tender(RFT),
39422,West Street Subway Railing Replacement,Construction,Request for Quotation(RFQ),
39425,Market Street Parkade Rehabilitation And Repairs,Construction,Request for Tender(RFT),
39433,Residential Windrow Plowing,Services,Request for Quotation(RFQ),
39438,Supply & Delivery Of One New 2017 Or 2018 Model Year Vertical Lift Skid Steer Loader With Bucket And Snow Blade Attachment,Goods,Request for Quotation(RFQ),
39446,"Supply, Delivery And Installation Of Playground Equipment At Four Community Parks",Goods,Request for Proposal(RFP),
39452,Water Chemical Analysis Laboratory Services,Services,Request for Quotation(RFQ),
39457,48 Month Lease Of Two (2) 2018 Ford Explorer Xlt 4Wd (K8D) For The Brantford Police Services,Services,Request for Quotation(RFQ),
39460,Wastewater Treatment Plant Electrical Upgrades,Construction,Request for Tender(RFT),
39463,Consulting Services For Blower Upgrades At The Wastewater Treatment Plant,Services,Request for Proposal(RFP),
39467,"Consultant Services Required For Cleaning, Dredging And Repair Of Two Stormwater Management Facilities",Services,Request for Proposal(RFP),
39481,Snow Clearing And Ice Control Services For Housing Locations,Services,Request for Quotation(RFQ),
39498,Mohawk Lake District Planning Study,Services,Request for Proposal(RFP),
39533,Exterior & Interior Common Space Lighting Upgrades (Led Conversion - Various Locations),Services,Request for Quotation(RFQ),
39540,Supply And Installation Of Marquee At Sanderson Centre,Construction,Request for Quotation(RFQ),
39553,Stage 3 Archaeological Study For The Southwest Sports Complex,Services,Request for Proposal(RFP),
39825,Sampling Plan Management Services And Compliance Sampling For The Inspection Of Meters For Brantford Power Inc.,Services,Request for Proposal(RFP),
39953,Customer Information And Billing System For Brantford Power Inc.,Services,Request for Proposal(RFP),
40023,Sale Of Approximately 2500 Tonnes Of Finished Screened Yard Material Compost,Goods,Request for Quotation(RFQ),
40181,"Consulting Services Required For Design, Contract Administration And Inspection For Road, Sewer And Watermain Reconstruction On St. Paul Avenue (Grand River Avenue To Brant Avenue)",Services,Request for Proposal(RFP),
40221,Mobile Devices And Services,Services,Others,
40222,Multi Function Devices And Related Services,Services,Others,
40224,Supply And Delivery Of Bulk Gasoline And Diesel Fuel,Goods,Request for Quotation(RFQ),
40227,Supply And Installation Of Parking Signs,Services,Request for Quotation(RFQ),
40238,Agenda Management Software,Services,Others,
40239,Employee Sourcing,Services,Others,
40240,Sap Erp Consulting Services For On-Going Sustainment And Support,Services,Request for Proposal(RFP),
40248,Bell Farm Road Reconstruction,Construction,Request for Tender(RFT),
40261,Employee Experience Leadership Review & Coaching,Services,Others,
40262,Geese Management Program,Services,Request for Quotation(RFQ),
40264,Design-Build Services To Renovate Fire Station # 3 And Fire Station # 4,Construction,Request for Proposal(RFP),
40271,Notice Of Cooperative Procurement Participation For Granular Materials,Goods,Request for Tender(RFT),
40272,Hp Off Warranty Hardware Maintenance (Vor),Services,Others,
40273,"Grinding And Screening Services For Leaf, Yard, And Wood Waste",Services,Request for Quotation(RFQ),
40276,Spca Pound Keeping,Services,Others,
40277,"Highway 400 Crossing Watermain Replacement - 1,100M South Of Essa Road",Services,Request for Proposal(RFP),
40279,Waterfront Trail Rehabilitation At Southshore Park,Construction,Request for Quotation(RFQ),
40299,Cultural Grants Program Consultant,Services,Request for Proposal(RFP),
40306,Food & Alcohol Concession Services At The Barrie Community Sports Complex,Services,Request for Quotation(RFQ),
40308,Roster For Claim Consulting Services For Infrastructure Construction Projects,Services,Request for Pre-Qualification(RFPQ),
40321,City Of Barrie Oro-Medonte Biosolids Storage Facility (Bsf) Electrical Upgrades,Construction,Request for Tender(RFT),
40323,Pro Active Radio Advertisements,Services,Request for Proposal(RFP),
40325,Banking Services,Services,Others,
40326,"Custody, Clearing And Settlement Of Investment Securities",Services,Others,
40327,Traffic Signal Cabinet Replacement Program,Goods,Request for Quotation(RFQ),
40329,Supply & Delivery Of Triple Mix & Screen Topsoil,Goods,Request for Quotation(RFQ),
40331,Autodesk Software Subscriptions And Technical Support,Services,Request for Quotation(RFQ),
40335,Sale Of Surplus Compost,Goods,Request for Quotation(RFQ),
40342,Group Benefits Consultant,Services,Request for Proposal(RFP),
40346,Supply And Delivery Of Medical Supplies,Goods,Request for Quotation(RFQ),
40351,Zoom Licensing Software (Oecm 2018-318-02 Software License Products And Related Services),Services,Others,
40352,Insurance And Risk Management Provider,Services,Request for Proposal(RFP),
40355,Sap Integrator Services,Services,Others,
40356,National Transportation Benchmarking Initiative,Services,Others,
40357,Needle Collection Services,Services,Request for Quotation(RFQ),
40359,Parts And Service For Wastewater Sludge Thickener Pumps,Goods,Others,
40360,Roof Replacement At 79 Bell Farm Road,Services,Request for Quotation(RFQ),
40377,"Inspection, Testing And Cleaning Services Of Oil Grit Separator Devices",Services,Request for Quotation(RFQ),
40379,Supply And Delivery Of One (1) New Black Mid-Size All-Wheel Drive Suv,Goods,Request for Quotation(RFQ),
40386,Thin Traffic Deck Coating Repair And Resurfacing At The Collier Street Parkade,Construction,Request for Quotation(RFQ),
40402,Supply & Installation Of Landfill Litter Fence,Construction,Request for Quotation(RFQ),
40405,Site Preparation Mapleview Cl To Yonge,Construction,Request for Tender(RFT),
40410,Industrial Rental Garments,Services,Request for Proposal(RFP),
40411,Structural Review Services,Services,Request for Proposal(RFP),
40412,Sale Of Surplus Compost,Goods,Request for Quotation(RFQ),
40415,Barrie-Collingwood Railway Business Case Consultant,Services,Request for Proposal(RFP),
40417,Elevator Preventative Maintenance And Emergency Services At Various Locations,Services,Request for Quotation(RFQ),
40423,Drinking Water System Contingency Plan,Services,Request for Proposal(RFP),
40424,Gbappc Bulk Road Patch Products,Goods,Request for Tender(RFT),
40425,Fence And Gate Repair Services Roster,Services,Request for Pre-Qualification(RFPQ),
40428,Live Watermain Tapping Services,Services,Request for Quotation(RFQ),
40429,Supply Delivery And Mixing Of Screened Winter Sand,Services,Request for Quotation(RFQ),
40431,"Winter Maintenance Services For Municipal Facility Parking Lots, Sidewalks And Entranceways",Services,Request for Quotation(RFQ),
40444,Sale Of Surplus Compost,Goods,Request for Quotation(RFQ),
40448,Salem Road Surface Treatment,Services,Request for Quotation(RFQ),
40450,Mcdonald Municipal Parking Lot Reconstruction,Construction,Request for Tender(RFT),
40456,Snow Clearing For Multiple Locations,Services,Request for Quotation(RFQ),
40460,Water Asset Management Plan,Services,Request for Proposal(RFP),
40464,Supply And Service Of Cogen Engine And Generator Control Equipment,Services,Others,
40465,Consulting Services For Drinking Water System Financial Plan,Services,Request for Proposal(RFP),
40466,"Supply, Delivery And Collection Services Of Needle Disposal Bins",Services,Request for Proposal(RFP),
40468,Supply & Delivery Of Waterfront Furnishing Program,Goods,Request for Quotation(RFQ),
40471,Interim Watermain Replacement,Construction,Request for Tender(RFT),
40476,Eastview Arena Chiller Replacement,Construction,Request for Quotation(RFQ),
40483,Hydro Pole Street Light Transfer Program,Construction,Request for Tender(RFT),
40488,Bayfield Street Resurfacing From Cundles Road To Livingstone Street,Construction,Request for Tender(RFT),
40493,Alternative Fuel Study,Services,Request for Proposal(RFP),
40496,"Supply And Delivery Of Rental Floor Mats, Mops And Towels At Various Facilities",Services,Request for Quotation(RFQ),
40500,Supply And Delivery Of Personal Protective Equipment,Goods,Request for Quotation(RFQ),
40537,Supply And Delivery Of Two (2) New One (1) Ton Cab And Chassis Trucks (5500/550),Goods,Request for Quotation(RFQ),
40539,Supply And Delivery Of Three (3) New One (1) Ton Cab And Chassis Trucks (3500/350),Goods,Request for Quotation(RFQ),
40543,City Wide Cycling Network Improvements,Construction,Request for Tender(RFT),
40546,Johnsons Beach Alterations,Construction,Request for Tender(RFT),
40553,Supply And Delivery Of Twelve (12) New Small All-Wheel Drive Suv'S,Goods,Request for Quotation(RFQ),
40561,Pringle Park Basketball Court Construction,Construction,Request for Quotation(RFQ),
40566,Parking Application System,Services,Request for Proposal(RFP),
40573,Ipd Consulting Services For Wwtf Projects,Services,Request for Proposal(RFP),
40578,Sanitary Trunk Sewer Inspection And Cleaning Services,Services,Request for Quotation(RFQ),
40582,Grub Control Services,Services,Request for Quotation(RFQ),
40587,Supply And Delivery Of Sixteen (16) New One (1) Ton Cab And Chassis Trucks With Aluminium Dump Box,Goods,Request for Quotation(RFQ),
40593,Anne Street/Highway 400 Watermain Crossing Abandonment,Construction,Request for Tender(RFT),
40597,Sadlon Arena Supply Fan Replacement And Controls Upgrade,Construction,Request for Quotation(RFQ),
40602,Sale Of Surplus Compost,Goods,Request for Quotation(RFQ),
40606,Supply Of Playground Sand,Goods,Request for Quotation(RFQ),
40609,Westech Mixers Parts And Service,Services,Others,
40610,Annual Curb & Sidewalk Maintenance,Construction,Request for Tender(RFT),
40619,Hazardous Waste Services - Depot Operations,Services,Request for Proposal(RFP),
40621,Anne Street And Letitia Watermain Improvements,Construction,Request for Tender(RFT),
40628,Traffic System Cabinets Non-Standard,Goods,Others,
40629,Sanitary Lateral Replacement And Repair Roster,Services,Request for Pre-Qualification(RFPQ),
40634,Consulting Services For Whiskey Creek Drainage Improvements At Minets Point Schedule B Municipal Class Ea,Services,Request for Proposal(RFP),
40642,Supply And Delivery Of New Articulating Sidewalk Sweeper/Vacuum,Goods,Request for Quotation(RFQ),
40647,Bayfield Street Water Tower - New Internal Liner And Two Monorail Upgrades,Construction,Request for Quotation(RFQ),
40651,Supply & Delivery Of One (1) New Forklift,Goods,Request for Quotation(RFQ),
40660,Supply And Delivery Of Two (2) New One Ton Cab And Chassis Hooklift Trucks,Goods,Request for Quotation(RFQ),
40665,Supply And Delivery Of Four (4) Mobile Column Lifts And Accessories,Goods,Request for Quotation(RFQ),
40669,Waterfront Trail Paving At Southshore Park,Construction,Request for Quotation(RFQ),
40684,Supply And Delivery Of Specialized Horticultural Fertilizer Products,Goods,Request for Quotation(RFQ),
40686,Supply & Delivery Of Water & Wastewater Treatment Chemicals,Goods,Request for Quotation(RFQ),
40695,After Hours Answering Service,Services,Request for Proposal(RFP),
40702,Sale Of Surplus Compost,Goods,Request for Quotation(RFQ),
40708,"Emergency Watermain Construction - Tiffin Street Row Expansion, Hwy 400 Underpass",Construction,Others,
40709,Sign Production For Heritage Trail Interpretive Signs,Services,Request for Quotation(RFQ),
40716,Asphalt Pavement Crack Sealing,Construction,Request for Tender(RFT),
40722,Victoria Woods Parking Lot Improvement,Construction,Request for Tender(RFT),
40751,Consulting Engineering Services For Wastewater Asset Management Plan And Condition Assessment,Services,Request for Proposal(RFP),
40754,Supply & Delivery Of Twenty-Three (23) New 3/4 Ton Pickup Trucks,Goods,Request for Quotation(RFQ),
40767,Supply & Delivery Of Nine (9) New Midsize 4X4 Pickup Trucks,Goods,Request for Quotation(RFQ),
40780,Roadway Line And Zone Painting Services,Services,Request for Quotation(RFQ),
